movie_id,original_id,name,date,tagline,description,minute,theatrical_release_age_rating,rating
2578,1006208,Fred Claus,2007,Everybody has that one relative who can't help but cause problems over the holidays. Even Santa.,"Fred Claus and Santa Claus have been estranged brothers for many years. Now Fred must reconcile his differences with his brother whom he believes overshadows him. When an efficiency expert assesses the workings at the North Pole and threatens to shut Santa down, Fred must help his brother to save Christmas.",116,PG,2.5
2579,1006209,Yentl,1983,"In a time when the world of study belonged only to men, there lived a girl who dared to ask...""why?""","Rebbe Mendel is a single father who teaches the Talmud, a sacred text of Judaism, to the boys of his small Polish town. Behind closed doors, he also instructs his daughter, Yentl, despite the fact that girls are forbidden to study religious scripture. When Yentl's father dies, she still has a strong desire to learn about her faith -- so she disguises herself as a male, enrolls in a religious school, and unexpectedly finds love along the way.",132,PG,3.57
2580,1006210,Casualties of War,1989,Even in war… murder is murder.,"During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager.",113,R,3.62
2581,1006212,Bubble Boy,2001,Life is an adventure. Don't blow it.,"Jimmy is a young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom... who pines for the sweet caresses of girl-next-door Chloe. But when Chloe decides to marry her high school boyfriend, Jimmy – bubble suit and all – treks cross-country to stop her.",84,PG-13,2.78
2582,1006223,New Jack City,1991,They're a new breed of gangster. The new public enemy. The new family of crime.,"A gangster, Nino, is in the Cash Money Brothers, making a million dollars every week selling crack. A cop, Scotty, discovers that the only way to infiltrate the gang is to become a dealer himself.",97,R,3.36
2583,1006225,The American President,1995,Why can't the most powerful man in the world have the one thing he wants most?,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",114,PG-13,3.37
2584,1006226,Book Club,2018,The next chapter is always the best.,Four lifelong friends decide that their lives could change by becoming nasty and reading Fifty Shades of Grey in their monthly book club to get inspiration on how to handle sexual pleasure at an elderly age.,104,PG-13,2.82
2585,1006227,Life of the Party,2018,Give life the old college try.,"When her husband suddenly dumps her, longtime dedicated housewife Deanna turns regret into re-set by going back to college... landing in the same class and school as her daughter, who's not entirely sold on the idea. Plunging headlong into the campus experience, the increasingly outspoken Deanna – now Dee Rock – embraces freedom, fun and frat boys on her own terms, finding her true self in a senior year no one ever expected.",105,PG-13,2.55
2586,1006231,Paranormal Activity: The Ghost Dimension,2015,You can't save them. All you can do is watch.,"Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",87,R,1.9
2587,1006232,Tuck Everlasting,2002,"If you could choose to live forever, would you?","Teenager Winnie Foster is growing up in a small rural town in 1914 with her loving but overprotective parents, but Winnie longs for a life of greater freedom and adventure.",90,PG,3.07
2588,1006233,The Hundred-Foot Journey,2014,Life's greatest journey begins with the first step.,A story centered around an Indian family who moves to France and opens a restaurant across the street from a Michelin-starred French restaurant.,122,PG,3.49
2589,1006234,The Last Exorcism,2010,Believe In Him.,"After years of performing “exorcisms” and taking believers’ money, Reverend Marcus travels to rural Louisiana with a film crew so he can dispel what he believes is the myth of demonic possession. The dynamic reverend is certain that this will be another routine “exorcism” on a disturbed religious fanatic but instead comes upon the blood-soaked farm of the Sweetzer family and a true evil he would have never thought imaginable.",87,PG-13,2.85
2590,1006236,Hot Shots! Part Deux,1993,Just deux it.,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm.",86,PG-13,3.2
2591,1006240,Woodstock,1970,"3 days of peace, music...and love.","An intimate look at the Woodstock Music & Art Festival held in Bethel, NY in 1969, from preparation through cleanup, with historic access to insiders, blistering concert footage, and portraits of the concertgoers; negative and positive aspects are shown, from drug use by performers to naked fans sliding in the mud, from the collapse of the fences by the unexpected hordes to the surreal arrival of National Guard helicopters with food and medical assistance for the impromptu city of 500,000.",225,R,4.13
2592,1006245,Frequency,2000,The future is listening.,"When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",118,PG-13,3.51
2593,1006251,Stan & Ollie,2018,The untold story of the world's greatest comedy act.,"With their golden era long behind them, comedy duo Stan Laurel and Oliver Hardy embark on a variety hall tour of Britain and Ireland. Despite the pressures of a hectic schedule, and with the support of their wives Lucille and Ida – a formidable double act in their own right – the pair's love of performing, as well as for each other, endures as they secure their place in the hearts of their adoring public",98,PG,3.46
2594,1006259,Prom Night,2008,A Night To Die For.,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",88,PG-13,1.86
2595,1006262,The Pacific,2010,Hell was an ocean away.,"Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers.",530,,4.1
2596,1006264,Ciao Alberto,2021,They go together like pasta and pesto.,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",7,,3.6
2597,1006265,Village of the Damned,1960,What Demonic Force Lurks Behind Those Eyes?,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.",77,NR,3.59
2598,1006266,Candy Cane Lane,2023,Be careful what you wish for.,"A man, determined to win the neighborhood's annual Christmas decorating contest, makes a pact with an elf to help him win. However, the elf casts a spell bringing the twelve days of Christmas to life, bringing chaos to the small, unsuspecting town.",117,,2.32
2599,1006268,Beast,2017,Be careful what you unleash,A troubled woman living in an isolated community finds herself pulled between the control of her oppressive family and the allure of a secretive outsider suspected of a series of brutal murders.,107,R,3.5
2600,1006269,Rescue Dawn,2006,A true story of survival... declassified.,A US Fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,120,PG-13,3.55
2601,1006270,The Lie,2018,It was an accident.,"A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",95,,2.27
2602,1006271,The 13th Warrior,1999,Prey for the living.,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend.",102,R,3.09
2603,1006272,The Good Son,1993,Evil has many faces.,"A young boy stays with his aunt and uncle, and befriends his cousin who's the same age. But his cousin begins showing increasing signs of psychotic behavior.",87,R,3.05
2604,1006273,Batman vs. Robin,2015,The showdown that will define a destiny,"Damian Wayne is having a hard time coping with his father's ""no killing"" rule. Meanwhile, Gotham is going through hell with threats such as the insane Dollmaker, and the secretive Court of Owls.",72,,3.2
2605,1006277,The Weather Man,2005,Dave Spritz is about to take his best shot . . . at life,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",101,R,3.22
2606,1006278,Vanishing Point,1971,It's the maximum trip... at maximum speed.,"Kowalski works for a car delivery service, and takes delivery of a 1970 Dodge Challenger to drive from Colorado to San Francisco. Shortly after pickup, he takes a bet to get the car there in less than 15 hours.",99,R,3.73
2607,1006279,My Big Fat Greek Wedding 2,2016,People change. Greeks don't.,"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding.""",94,PG-13,2.72
