actor_name,avg_rating,count,is_star
Ann Carter,3.2816666666666663,6,True
Ann Codee,3.3634615384615385,26,True
Ann Cusack,3.1036363636363635,11,False
Ann Doran,3.386290322580645,62,True
Ann Dowd,3.08,3,False
Ann Dvorak,3.2938095238095237,21,True
Ann E. Todd,3.4353846153846157,13,True
Ann Gillis,3.434,10,True
Ann Harding,3.2766666666666664,9,True
Ann Kunde,3.515416666666667,24,True
Ann Magnuson,2.98,10,False
Ann McCrea,3.528888888888889,9,True
Ann McDonough,3.2883333333333336,6,True
Ann Miller,3.4329411764705884,17,True
Ann Morrison,3.5300000000000002,8,True
Ann Morriss,3.4333333333333336,6,True
Ann Robinson,3.3963636363636365,11,True
Ann Rutherford,3.3415384615384616,13,True
Ann Ryerson,3.3,9,True
Ann Sheridan,3.3313793103448277,29,True
Ann Shoemaker,3.3395,20,True
Ann Sothern,3.37,13,True
Ann Staunton,3.4025,8,True
Ann Tyrrell,3.4828571428571427,7,True
Ann Wedgeworth,3.2214285714285715,7,False
Ann-Margret,3.2395000000000005,20,False
Anna Berger,3.2640000000000002,10,False
Anna Chancellor,3.434,5,True
Anna Deavere Smith,3.39,2,False
Anna Demetrio,3.27,8,True
Anna Faris,2.55,1,False
Anna Friel,3.25,2,False
Anna Lee,3.5419047619047617,21,True
Anna Maria Horsford,3.131333333333333,15,False
Anna Massey,3.24,6,False
Anna May Wong,3.2125,8,False
Anna Paquin,3.393333333333333,9,True
Anna Q. Nilsson,3.459230769230769,13,True
Anna Thomson,3.3528571428571428,14,True
Annabel Armour,2.59,4,False
Annabella Sciorra,3.2422222222222223,9,False
Annabelle Gurwitch,2.903333333333333,6,False
Annabeth Gish,3.012857142857143,7,False
Anne Archer,3.0558333333333336,12,False
Anne Bancroft,3.3255172413793104,29,True
Anne Baxter,3.4427999999999996,25,True
Anne Betancourt,2.84125,8,False
Anne Cornwall,3.5316666666666663,6,True
Anne DeSalvo,3.1420000000000003,10,False
Anne Fletcher,3.176,10,False
Anne Francis,3.4315384615384614,13,True
Anne G. Sterling,3.1758333333333333,12,False
Anne Gwynne,3.0725,8,False
Anne Haney,3.2283333333333335,12,False
Anne Hathaway,3.4450000000000003,2,False
Anne Heche,2.974285714285714,14,False
Anne Jeffreys,3.1757142857142857,7,False
Anne Lockhart,3.1799999999999997,11,False
Anne Meara,3.30125,8,True
Anne Nagel,3.127333333333333,15,False
Anne O'Neal,3.4309523809523808,21,True
Anne Pitoniak,3.161111111111111,9,False
Anne Ramsay,2.8125,4,False
Anne Ramsey,3.1966666666666668,9,False
Anne Revere,3.4425,16,True
Anne Seymour,3.2927272727272725,11,True
Anne Shirley,3.415714285714286,14,True
Annette Bening,3.2590909090909093,11,False
Annette Funicello,3.02875,16,False
Annette O'Toole,3.252222222222222,9,False
Annie Corley,3.015,4,False
Annie Golden,3.2433333333333336,6,False
Annie McEnroe,3.4757142857142855,7,True
Annie Meyers-Shyer,3.14,6,False
Annie O'Donnell,3.105,6,False
Annie Potts,3.21875,8,False
Annika Pergament,3.135,2,False
Anson Mount,2.8449999999999998,4,False
Anthony Anderson,2.8777777777777778,9,False
Anthony Caruso,3.333103448275862,29,True
Anthony Chinn,3.392857142857143,7,True
Anthony Chisholm,3.29,1,False
Anthony Edwards,3.066363636363637,11,False
Anthony Eustrel,3.285,8,True
Anthony Franciosa,3.2975,12,True
Anthony Geary,3.1,5,False
Anthony Giaimo,3.081666666666667,6,False
Anthony Harrison,2.946,5,False
Anthony Heald,3.2145454545454544,11,False
Anthony Holland,3.3261538461538462,13,True
Anthony Hopkins,3.25,20,False
Anthony James,3.556363636363636,11,True
Anthony Jensen,2.92,1,False
Anthony Jochim,3.526666666666667,6,True
Anthony Johnson,3.0877777777777777,9,False
Anthony LaPaglia,3.198,15,False
Anthony Marsh,3.462857142857143,7,True
Anthony Michael Hall,3.1972727272727273,11,False
Anthony O'Donnell,2.83,2,False
Anthony Perkins,3.2426315789473685,19,False
Anthony Quinn,3.33,54,True
Anthony Rapp,3.438,5,True
Anthony Redondo,3.4384615384615387,13,True
Anthony Reynolds,2.86,1,False
Anthony Ross,3.5175,8,True
Anthony Sydes,3.404285714285714,7,True
Anthony Warde,3.2957142857142854,21,True
Anthony Welch,3.3880000000000003,5,True
Anthony Zerbe,3.1784615384615384,13,False
Anton Lesser,3.2,2,False
Anton Northpole,3.4075,12,True
Anton Yelchin,3.0100000000000002,3,False
Antoni Corone,3.035,10,False
Antonia Rey,3.195,12,False
Antonio Banderas,2.9472727272727273,11,False
